Seat Comfort,Cabin Staff Service,Ground Service,Value For Money,Food & Beverages,Inflight Entertainment,Distance,Is_stop,Seat Type,Type Of Traveller,Flight Length,Recommended
1.0,1.0,1.0,1.0,,,1264.7304911140852,0,Economy Class,Solo Leisure,Middle-Haul,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1747.074441042809,1,Economy Class,Couple Leisure,Middle-Haul,0.0
1.0,1.0,1.0,1.0,1.0,1.0,391.59131873367363,0,Economy Class,Couple Leisure,Short-Haul,0.0
1.0,1.0,1.0,1.0,1.0,,479.0373799702254,0,Economy Class,Business,Short-Haul,0.0
1.0,1.0,1.0,1.0,1.0,1.0,780.3685495162608,0,Economy Class,Solo Leisure,Short-Haul,0.0
1.0,2.0,1.0,1.0,1.0,1.0,1122.2022174788221,1,Economy Class,Solo Leisure,Middle-Haul,0.0
4.0,4.0,5.0,5.0,3.0,,321.4722076220735,0,Economy Class,Family Leisure,Short-Haul,1.0
2.0,1.0,1.0,1.0,,1.0,479.0373799702254,0,Economy Class,Business,Short-Haul,0.0
4.0,1.0,4.0,1.0,1.0,,818.2233844741919,0,Economy Class,Family Leisure,Short-Haul,0.0
3.0,3.0,3.0,2.0,,,1670.2284690932745,1,Economy Class,Solo Leisure,Middle-Haul,0.0
1.0,1.0,1.0,1.0,,,1264.7304911140852,0,Economy Class,Solo Leisure,Middle-Haul,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1747.074441042809,1,Economy Class,Couple Leisure,Middle-Haul,0.0
1.0,1.0,1.0,1.0,1.0,1.0,391.59131873367363,0,Economy Class,Couple Leisure,Short-Haul,0.0
1.0,1.0,1.0,1.0,1.0,,479.0373799702254,0,Economy Class,Business,Short-Haul,0.0
1.0,1.0,1.0,1.0,1.0,1.0,780.3685495162608,0,Economy Class,Solo Leisure,Short-Haul,0.0
1.0,2.0,1.0,1.0,1.0,1.0,1122.2022174788221,1,Economy Class,Solo Leisure,Middle-Haul,0.0
4.0,4.0,5.0,5.0,3.0,,321.4722076220735,0,Economy Class,Family Leisure,Short-Haul,1.0
2.0,1.0,1.0,1.0,,1.0,479.0373799702254,0,Economy Class,Business,Short-Haul,0.0
4.0,1.0,4.0,1.0,1.0,,818.2233844741919,0,Economy Class,Family Leisure,Short-Haul,0.0
3.0,3.0,3.0,2.0,,,1670.2284690932745,1,Economy Class,Solo Leisure,Middle-Haul,0.0
1.0,2.0,2.0,1.0,2.0,,321.4722076220735,0,Economy Class,Business,Short-Haul,0.0
3.0,3.0,1.0,1.0,,,448.979725511109,0,Economy Class,Couple Leisure,Short-Haul,0.0
5.0,5.0,5.0,5.0,5.0,,625.905129834846,0,Economy Class,Business,Short-Haul,1.0
2.0,1.0,1.0,1.0,1.0,1.0,625.905129834846,0,Economy Class,Solo Leisure,Short-Haul,0.0
2.0,4.0,1.0,3.0,1.0,,278.5728929409619,0,Economy Class,Solo Leisure,Short-Haul,0.0
5.0,5.0,5.0,3.0,3.0,,391.59131873367363,0,Economy Class,Business,Short-Haul,1.0
3.0,3.0,1.0,1.0,,,1133.9440870610083,0,Economy Class,Couple Leisure,Middle-Haul,0.0
3.0,4.0,1.0,2.0,1.0,,321.4722076220735,0,Economy Class,Family Leisure,Short-Haul,0.0
5.0,5.0,5.0,4.0,4.0,4.0,479.0373799702254,0,Economy Class,Business,Short-Haul,1.0
5.0,5.0,5.0,4.0,4.0,5.0,1161.7807663100061,0,Business Class,Solo Leisure,Middle-Haul,1.0
5.0,5.0,5.0,4.0,,,1161.7807663100061,0,Economy Class,Business,Middle-Haul,1.0
4.0,4.0,3.0,4.0,3.0,,1051.8864227929448,0,Business Class,Solo Leisure,Middle-Haul,1.0
3.0,5.0,4.0,1.0,1.0,3.0,944.9728670355568,0,Economy Class,Business,Short-Haul,0.0
