,Aircraft with seatmap,Seat Pitch,Seat Width,Seat Type,Video Type,Laptop Power,Power Type,Wi-Fi,Class,Company
0,Airbus A319 (319),30,18,Standard,None,None,None,No,Economy class,Aegean Airlines
1,Airbus A320 (320),30,18,Standard,Overhead TV,None,None,No,Economy class,Aegean Airlines
2,Airbus A321 (321),30,18,Standard,Overhead TV,None,None,No,Economy class,Aegean Airlines
3,ATR 42-600 (ATR),30,17,Standard,None,None,None,No,Economy class,Aegean Airlines
4,Bombardier Q400 (DH4),30,17,Standard,None,None,None,No,Economy class,Aegean Airlines
5,Airbus A330-200 (332) Layout 1,31-32,17,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Aer Lingus
6,Airbus A330-200 (332) Layout 2,31-32,17,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Aer Lingus
7,Airbus A330-300 (333),31-32,17,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Aer Lingus
8,Airbus A330-200 (332) Layout 1,58,21,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Aer Lingus
9,Airbus A330-200 (332) Layout 2,58,21,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Aer Lingus
10,Airbus A330-300 (333),58,21,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Aer Lingus
11,Airbus A320 (320),31-32,17,Standard,None,None,None,No,Economy class,Aer Lingus
12,Airbus A321 (321),31-32,17,Standard,None,None,None,No,Economy class,Aer Lingus
13,Airbus A321LR (321),45,20,Flat Bed,On-Demand TV,All Seats,AC Power,No,Economy class,Aer Lingus
14,Airbus A321LR (321),31-32,18,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Aer Lingus
15,Boeing 757-200 (752),31,18,Standard,On-Demand TV,None,None,No,Economy class,Aer Lingus
16,Boeing 757-200 (752),60,22,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Aer Lingus
17,Airbus A330-200 (332),31,18.0,Standard,On-Demand TV,None,None,No,Economy class,Aeroflot Russian Airlines
18,Airbus A330-300 (333) Layout 1,30-32,18.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Aeroflot Russian Airlines
19,Airbus A330-300 (333) Layout 2,30-32,18.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Aeroflot Russian Airlines
20,Boeing 777-300ER (773),30-32,18.0,Standard,On-Demand TV,None,None,No,Economy class,Aeroflot Russian Airlines
21,Boeing 777-300ER (773),38,20.0,Recliner,On-Demand TV,All Seats,AC Power,No,Premium Economy,Aeroflot Russian Airlines
22,Airbus A330-200 (332),60.0,26.7,Angle Lie Flat,On-Demand TV,All Seats,AC Power,No,Business class,Aeroflot Russian Airlines
23,Airbus A330-300 (333) Layout 1,60.2,26.0,Angle Lie Flat,On-Demand TV,All Seats,AC Power,No,Business class,Aeroflot Russian Airlines
24,Airbus A330-300 (333) Layout 2,60.2,26.0,Angle Lie Flat,On-Demand TV,All Seats,AC Power,No,Business class,Aeroflot Russian Airlines
