day,subject,avg_tweet
2020-01-17,Seat,"[""['See that my seats have been changed even though I paid for seat selection']""
 ""['Now have paid for seat ']""
 '[\'"" now you have pushed this flight back too\']']"
2020-01-18,Seat,"[""[' need to work harder - paid for first class seats and NO car waiting at Frankfurt']""
 ""['we do not have access to book your seats']""
 ""['a reporter who delivers the weather x9cwith a side of humor and  ended up with his back on ']""]"
2020-01-19,Seat,"[""[' can you explain why my elderly mother in law traveling back home from New Zealand to Manchester has  ']""
 ""[':  can you explain why my elderly mother in law traveling back home from New Zealand to Manchester has now been ']""
 ""['First time flying Emirates &amp; the A380 plus I was upgraded to business on way back ']""]"
2020-01-20,Seat,"[""[': Malaysia has sent back 150 containers of plastic waste to 13 mainly rich countries']""
 ""[' I x99t wait until this wretched cold air moves back into the great liberal white north of Canada']""
 ""[' Air France tell me because not operated directly by Air France seats cannot be allocated in  ']""]"
2020-01-21,Seat,"[""['i literally almost cried cause i got rebooked into a direct flight back from london  ']""
 ""['I will buy air tickets back to China to visit my 70 years old  ']""
 ""[' Brought back memories when we use to get Fogg in years ago when the airport was new']""]"
2020-01-22,Seat,"[""['And this....how far do USA and Canada back a losing turkey', 'Our  dollars backing another falsehood']""
 ""['  to add a check in bag on my flight and  to pick seats']""
 ""[': A pod of humpback whales coming up for air in front of a Lodge in Canada ']""]"
2020-01-23,Seat,"[""['Lufthansa flight  from  to  is heading back and decleared an general emergency']""
 ""['Nigeria (Airbus A340-300 F-GLZN) has turned back near Toulouse']""
 ""['Nigeria (Airbus A340-300 F-GLZN) has turned back near Toulouse']""]"
2020-01-24,Seat,"['[""Legally you\'ve only got 4 days to get me compensation for my flight problems back in December""]'
 ""['Your Travel Editor of the Year is flying by the seat of my pants today at Holiday World']""
 ""['nBoycott sponsors!!!nWe want our club back']""]"
2020-01-25,Seat,"[""['Need one of those vintage logos taken back aswell as a new stadion name']""
 ""[': We are signing a centre back', 'A full on proper tall centre back']""
 ""[': We are signing a centre back', 'A full on proper tall centre back']""]"
2020-01-26,Seat,"[""[': We are signing a centre back', 'A full on proper tall centre back']""
 ""[': We are signing a centre back', 'A full on proper tall centre back']""
 ""[': We are signing a centre back', 'A full on proper tall centre back']""]"
2020-01-17,Staff_Service,"[""['Air France is continuing the move upmarket of its products and services']""
 ""['I am in china and  call the customer service line.']""
 ""['Their phone service is also  ']""]"
2020-01-18,Staff_Service,"['[\'""Southwest\\\'s new service from Houston to Cozumel\']'
 '[\'That thing used to air on ""France xb4"" in 2010 and \\\'s like a public service channel\']'
 ""['4 staff at desk but only 2 customers being helped for last 10 minutes and still  ']""]"
2020-01-19,Staff_Service,"[""[' We need to purchase an unaccompanied minor service for a flight on Tuesday January 21']""
 ""[' hey my flight AC8857 on Jan 17 got canceled last minute due to your crew constraint']""
 ""[': Two photos of Transall C-160Ps used by Air France on their Aeropostale services.xa9 See photos']""]"
2020-01-20,Staff_Service,"[""[' and  screwed over my poor old 69 years old father out of 93,000 points to go to Cleveland']""
 '[""we\'ve spoken to your reservations and customer service center""]'
 ""[' - Your agents are announcing that  is closed for ground operations']""]"
2020-01-21,Staff_Service,"[""['1976 Concorde performed its first commercial service xa7 British Airways flew from London to Bahrain and ']""
 ""['1976 Concorde performed its first commercial service xa7 British Airways flew from London to  ']""
 ""['1976 Concorde performed its first commercial service xa7 British Airways flew from London to Bahrain and ']""]"
2020-01-22,Staff_Service,"[""[': Air Canada flight attendant xa9tan Dugas was not really Patient Zero of the  pandemic']""
 ""['Their usual impeccable service has had a major fail today', 'From check in crew  ']""
 ""['1976 Concorde performed its first commercial service xa7 British Airways flew from London to Bahrain and ']""]"
2020-01-23,Staff_Service,"[""['1976 Concorde performed its first commercial service xa7 British Airways flew from London to Bahrain and ']""
 ""['Our 8 year old is hoping she can help the flight attendants whilst  ']""
 ""[' Air Canada is well known for its employees lack of service and general rudeness.']""]"
2020-01-24,Staff_Service,"[""[': JF-17 Thunder Block-III is expected to roll out soon in services to Pakistan Air Force']""
 ""['JF-17 Thunder Block-III is expected to roll out soon in services to Pakistan Air Force']""
 ""[' staff working hard in making boarding pass by writing down individual details at xbcrich airport']""]"
2020-01-25,Staff_Service,"[""['   I really had a bad experience as Emirates staff and the whole  ']""
 ""['Only few staff assisting']""
 ""[' Aisle because of freedom to move without climbing over strangers and ease of communication with staff.']""]"
2020-01-26,Staff_Service,"['[\'"" Disappointed me x94 although your continuous great service\']'
 ""['SQ services semua tiptop']""
 ""['Nigga we have won the league at your grounds in front of the Kop']""]"
2020-01-17,FoodBeverages,"[""['the warmer waters of Lake Ontario starts to steam like a teakettle']""
 ""['the warmer waters of Lake Ontario starts to steam like a teakettle']""
 ""['the warmer waters of Lake Ontario starts to steam like a teakettle']""]"
